array	sample	purity
TCGA-DK-AA74-01	TCGA-DK-AA74-01A-11D-A390-01	0.21
TCGA-DK-AA76-01	TCGA-DK-AA76-01A-11D-A390-01	0.93
TCGA-DK-AA77-01	TCGA-DK-AA77-01A-11D-A390-01	0.88
TCGA-E5-A2PC-01	TCGA-E5-A2PC-01A-11D-A201-01	0.79
TCGA-E5-A4TZ-01	TCGA-E5-A4TZ-01A-11D-A31K-01	0.67
TCGA-E5-A4U1-01	TCGA-E5-A4U1-01A-11D-A31K-01	0.78
TCGA-E7-A3X6-01	TCGA-E7-A3X6-01A-12D-A22Y-01	0.71
TCGA-E7-A3Y1-01	TCGA-E7-A3Y1-01A-11D-A22Y-01	0.82
TCGA-E7-A4IJ-01	TCGA-E7-A4IJ-01A-31D-A26L-01	0.48
TCGA-E7-A4XJ-01	TCGA-E7-A4XJ-01A-11D-A26L-01	0.84
TCGA-E7-A519-01	TCGA-E7-A519-01A-11D-A26L-01	0.64
TCGA-E7-A541-01	TCGA-E7-A541-01A-11D-A26L-01	0.39
TCGA-E7-A5KE-01	TCGA-E7-A5KE-01A-11D-A288-01	0.92
TCGA-E7-A5KF-01	TCGA-E7-A5KF-01A-11D-A288-01	0.98
TCGA-E7-A677-01	TCGA-E7-A677-01A-11D-A30D-01	0.86
TCGA-E7-A678-01	TCGA-E7-A678-01A-11D-A30D-01	0.92
TCGA-E7-A6MD-01	TCGA-E7-A6MD-01A-41D-A34T-01	0.47
TCGA-E7-A6ME-01	TCGA-E7-A6ME-01A-22D-A32A-01	0.79
TCGA-E7-A6MF-01	TCGA-E7-A6MF-01A-12D-A32A-01	0.88
TCGA-E7-A7DU-01	TCGA-E7-A7DU-01A-11D-A32A-01	0.84
TCGA-E7-A7DV-01	TCGA-E7-A7DV-01A-11D-A338-01	0.35
TCGA-E7-A7PW-01	TCGA-E7-A7PW-01A-11D-A34T-01	0.84
TCGA-E7-A7XN-01	TCGA-E7-A7XN-01A-11D-A34T-01	0.32
TCGA-E7-A85H-01	TCGA-E7-A85H-01A-11D-A34T-01	0.74
TCGA-E7-A8O7-01	TCGA-E7-A8O7-01A-11D-A363-01	0.84
TCGA-E7-A97P-01	TCGA-E7-A97P-01A-11D-A38F-01	0.45
TCGA-E7-A97Q-01	TCGA-E7-A97Q-01A-11D-A38F-01	0.65
TCGA-FD-A3B3-01	TCGA-FD-A3B3-01A-12D-A201-01	0.21
TCGA-FD-A3B4-01	TCGA-FD-A3B4-01A-12D-A201-01	0.62
TCGA-FD-A3B5-01	TCGA-FD-A3B5-01A-11D-A20B-01	0.52
TCGA-FD-A3B6-01	TCGA-FD-A3B6-01A-21D-A20B-01	0.42
TCGA-FD-A3B7-01	TCGA-FD-A3B7-01A-31D-A20B-01	0.28
TCGA-FD-A3N5-01	TCGA-FD-A3N5-01A-11D-A219-01	0.66
TCGA-FD-A3N6-01	TCGA-FD-A3N6-01A-11D-A219-01	0.83
TCGA-FD-A3NA-01	TCGA-FD-A3NA-01A-11D-A219-01	0.43
TCGA-FD-A3SJ-01	TCGA-FD-A3SJ-01A-12D-A22Y-01	0.46
TCGA-FD-A3SL-01	TCGA-FD-A3SL-01A-21D-A22Y-01	0.42
TCGA-FD-A3SM-01	TCGA-FD-A3SM-01A-11D-A22Y-01	0.69
TCGA-FD-A3SN-01	TCGA-FD-A3SN-01A-12D-A22Y-01	0.73
